[INFO  2016-07-02 13:54:13,329 com.nanhai.comparator.Test:36] 是指以洛阳盆地为中心的中原地区，现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:13,329 com.nanhai.comparator.Test:39] 是指以洛阳盆地为中心的中原地区
[INFO  2016-07-02 13:54:13,330 com.nanhai.comparator.Test:39] 现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:13,330 com.nanhai.comparator.Test:59] high frequency is: 0
[INFO  2016-07-02 13:54:53,615 com.nanhai.comparator.Test:17] test
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:34] high word is : 中
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:38] 中国一词，最早见于西周，是指以洛阳盆地为中心的中原地区，现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:41] 中国一词
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:41] 最早见于西周
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:41] 是指以洛阳盆地为中心的中原地区
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:41] 现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:53,617 com.nanhai.comparator.Test:38] 中国一词，最早见于西周，
[INFO  2016-07-02 13:54:53,618 com.nanhai.comparator.Test:41] 中国一词
[INFO  2016-07-02 13:54:53,618 com.nanhai.comparator.Test:41] 最早见于西周
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:38] 是指以洛阳盆地为中心的中原地区，现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:41] 是指以洛阳盆地为中心的中原地区
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:41] 现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:34] high word is : 国
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:34] high word is : 一
[INFO  2016-07-02 13:54:53,619 com.nanhai.comparator.Test:34] high word is : 词
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 最
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 早
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 见
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 于
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 西
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:34] high word is : 周
[INFO  2016-07-02 13:54:53,620 com.nanhai.comparator.Test:61] high frequency is: 0
[INFO  2016-07-02 13:55:30,253 com.nanhai.comparator.Test:17] test
[INFO  2016-07-02 13:55:30,254 com.nanhai.comparator.Test:34] high word is : 中
[INFO  2016-07-02 13:55:30,254 com.nanhai.comparator.Test:38] 中国一词，最早见于西周，是指以洛阳盆地为中心的中原地区，现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:55:30,255 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,255 com.nanhai.comparator.Test:41] 国
[INFO  2016-07-02 13:55:30,256 com.nanhai.comparator.Test:41] 一
[INFO  2016-07-02 13:55:30,256 com.nanhai.comparator.Test:41] 词
[INFO  2016-07-02 13:55:30,256 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 最
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 早
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 见
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 于
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 西
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 周
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,257 com.nanhai.comparator.Test:41] 是
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 指
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 以
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 洛
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 阳
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 盆
[INFO  2016-07-02 13:55:30,258 com.nanhai.comparator.Test:41] 地
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 为
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 心
